NtsbNo,WeatherCondition,TimeOfDay,Investigation.Type,Event.Date,Air.carrier,Organizational Climate,Personnel Conditions,Supervisory Conditions,Operator Conditions,Unsafe Conditions,Fin_Quarter,Operating Expense per RTM,Operating Revenues_QoQ_pct,"Employment, Total Weighted Avg CY_QoQ_pct",merged_air_crash_data_weather.sky_cond_nonceil
DCA13CA065,VMC,Evening,Accident,3/8/2013,DELTA AIRLINES,Culture,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,1,1.87,-1.63708994,0.966383084,CLER
DCA13CA066,VMC,Evening,Accident,12/5/2012,AIR WISCONSIN AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,4,2.91,-1.033112764,-1.51045701,CLER
DCA13FA071,VMC,Afternoon,Accident,4/5/2013,U.S. AIRWAYS,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,2,1.9,2.658468788,0.426352655,FEW
WPR13IA226,VMC,Morning,Incident,5/10/2013,SOUTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,2,1.48,13.67304704,-0.857573046,CLER
DCA13CA090,VMC,Morning,Accident,5/11/2013,SHUTTLE AMERICA CORP,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,2,1.14,1.766796645,10.56910569,SCAT
DCA13CA091,VMC,Afternoon,Accident,5/9/2013,DELTA AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,2,1.72,14.1826992,1.209369546,FEW
DCA13FA094,VMC,Evening,Accident,5/18/2013,PIEDMONT AIRLINES,Safety Climate,Crew Resource Management,Failed to Correct Known Problem,Mental Limitations,Skill-based Errors,2,,0,0,CLER
DCA13CA106,VMC,Morning,Accident,6/13/2013,DELTA AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,2,1.72,14.1826992,1.209369546,SCAT
DCA13CA128,VMC,Morning,Accident,7/12/2013,DELTA AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,3,1.59,8.141017935,-0.524039822,SCAT
DCA13FA131,VMC,Evening,Accident,7/22/2013,SOUTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,3,1.51,-2.106922879,-0.754941233,SCAT
DCA13MA133,Unknown,Evening,Accident,8/14/2013,UNITED PARCEL SERVICE,Structure,Crew Resource Management,Failed to Correct Known Problem,Adverse Physiological State,Routine Violations,3,0.72,0.889979147,-0.31267243,FEW
WPR13LA431,VMC,Morning,Accident,9/29/2013,HORIZON AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,3,1.37,-3.44612338,0.75443229,FEW
DCA14CA014,VMC,Morning,Accident,10/18/2013,UNITED AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,4,1.8745,-8.785896311,-0.516899576,CLER
DCA14IA016,VMC,Evening,Incident,11/22/2013,ATLAS AIR,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,4,0.3765,18.68377617,-0.357568534,CLER
ENG14IA005,Unknown,Evening,Incident,12/23/2013,SOUTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,4,1.5552,-2.564288749,-0.339313832,
DCA14CA031,VMC,Evening,Accident,11/25/2013,PIEDMONT AIRLINES,Structure,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,4,,0,0,CLER
DCA14CA034,VMC,Evening,Accident,1/4/2014,SOUTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,1,1.6131,-5.917795956,0.311540344,
DCA14CA035,VMC,Evening,Accident,1/9/2014,SOUTHWEST AIRLINES,Culture,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,1,1.6131,-5.917795956,0.311540344,
DCA14CA036,IMC,Morning,Accident,1/10/2014,DELTA AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,1,1.8399,-1.745151105,0.485886164,
DCA14IA037,VMC,Evening,Incident,1/13/2014,SOUTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Decision Errors,1,1.6131,-5.917795956,0.311540344,FEW
DCA14CA051,VMC,Morning,Accident,1/31/2014,DELTA AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,1,1.8399,-1.745151105,0.485886164,FEW
DCA14FA058,IMC,Evening,Accident,2/5/2014,TRANS STATES AIRLINES,Culture,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,1,2.19,-2.42645797,0.078064012,OVCT
DCA14LA060,Unknown,Afternoon,Accident,2/17/2014,CONTINENTAL AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,1,1.47,3.299756196,1.659789088,
DCA14MA081,VMC,Evening,Accident,3/13/2014,U.S. AIRWAYS,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,1,1.84,2.474588192,0.111788618,CLER
DCA14CA083,VMC,Evening,Accident,3/17/2014,DELTA AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,1,1.8399,-1.745151105,0.485886164,
OPS14IA005,VMC,Afternoon,Incident,4/24/2014,EXPRESSJET AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Decision Errors,2,0.89,332.1676436,-0.467391304,FEW
OPS14IA005,VMC,Afternoon,Incident,4/24/2014,EXPRESSJET AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Decision Errors,2,0.89,332.1676436,-0.467391304,FEW
DCA14CA090,VMC,Evening,Accident,3/5/2014,DELTA AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,1,1.8399,-1.745151105,0.485886164,FEW
DCA14CA120,Unknown,Morning,Accident,6/17/2014,SOUTHWEST AIRLINES,Culture,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,2,1.53,335.6679132,0.08207995,SCAT
DCA14CA124,VMC,Evening,Accident,6/17/2014,UNITED AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,2,1.84,343.7015078,0.481969401,
ENG14IA019,Unknown,Afternoon,Incident,7/11/2014,DELTA AIRLINES,Safety Climate,Crew Resource Management,Planned Inappropriate Operations,Mental Limitations,Skill-based Errors,3,1.7389,-71.3994389,2.215091745,
DCA14LA137,VMC,Evening,Accident,7/30/2014,UNITED AIRLINES,Culture,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,3,1.819,-72.62272033,-2.378609731,FEW
CEN14LA430,VMC,Morning,Accident,8/9/2014,MESA AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,3,0.9549,-73.06488297,14.98353458,FEW
WPR14LA346,VMC,Morning,Accident,8/14/2014,SOUTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,3,1.5156,-73.55458901,1.103845728,FEW
DCA14CA147,VMC,Morning,Accident,8/10/2014,PIEDMONT AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,3,,0,0,CLER
CEN14CA455,VMC,Evening,Accident,8/22/2014,REPUBLIC AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,3,1.0447,0.799300546,0.639364092,CLER
DCA14CA155,VMC,Afternoon,Accident,8/27/2014,SHUTTLE AMERICA CORP,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,3,1.18,8.82795993,8.553546592,CLER
DCA14CA157,VMC,Afternoon,Accident,8/18/2014,UNITED AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,3,1.819,-72.62272033,-2.378609731,
DCA14CA161,VMC,Evening,Accident,9/16/2014,AMERICAN AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,3,1.7784,-73.49463004,0.467032967,FEW
ENG14IA028,VMC,Afternoon,Incident,9/18/2014,JETBLUE AIRWAYS,Culture,Personal Readiness,Planned Inappropriate Operations,Adverse Physiological State,Skill-based Errors,3,1.4119,-72.95453652,0.877524775,
ENG14IA027,VMC,Afternoon,Incident,9/21/2014,DELTA AIRLINES,Culture,Personal Readiness,Planned Inappropriate Operations,Adverse Physiological State,Skill-based Errors,3,1.7389,-71.3994389,2.215091745,SCAT
DCA14CA170,Unknown,Evening,Accident,9/13/2014,EXPRESSJET AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,3,0.8335,-75.75954038,0.382221252,FEW
ENG15IA037,Unknown,Afternoon,Incident,10/10/2014,UNITED AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,4,1.7916,268.248121,0.57197571,FEW
DCA15LA011,VMC,Afternoon,Accident,10/17/2014,ALOHA AIRLINES,Culture,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,4,2.44,-49.86918547,-50.28985507,CLER
DCA15CA012,VMC,Evening,Accident,10/23/2014,COMPASS AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,4,0.4656,282.5703138,1.495016611,SCAT
DCA15CA012,VMC,Evening,Accident,10/23/2014,COMPASS AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,4,0.4656,282.5703138,1.495016611,SCAT
DCA15CA025,VMC,Evening,Accident,11/21/2014,SOUTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,4,1.4964,287.6113477,-0.100848442,FEW
DCA15CA025,VMC,Evening,Accident,11/21/2014,SOUTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,4,1.4964,287.6113477,-0.100848442,FEW
DCA15CA035,IMC,Evening,Accident,11/24/2014,UNITED AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,4,1.7916,268.248121,0.57197571,
DCA15CA037,VMC,Evening,Accident,12/13/2014,SOUTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,4,1.4964,287.6113477,-0.100848442,FEW
DCA15CA050,IMC,Morning,Accident,12/11/2014,SOUTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,4,1.4964,287.6113477,-0.100848442,FEW
CEN15LA140,VMC,Evening,Accident,2/10/2015,U.S. AIRWAYS,Safety Climate,Crew Resource Management,Failed to Correct Known Problem,Mental Limitations,Skill-based Errors,1,1.84,2.474588192,0.111788618,CLER
DCA15LA067,IMC,Evening,Accident,2/15/2015,UNITED AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,1,1.725,-0.225713947,-0.761637521,
OPS15IA011,VMC,Evening,Incident,2/18/2015,AMERICAN EAGLE AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,1,2.85,-3.759090892,-1.254705144,FEW
OPS15IA011,VMC,Evening,Incident,2/18/2015,AMERICAN EAGLE AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,1,2.85,-3.759090892,-1.254705144,FEW
DCA15FA073,VMC,Morning,Accident,2/24/2015,FED EX,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,1,2.2249,-0.586646912,0.670154352,CLER
DCA15FA085,IMC,Morning,Accident,3/5/2015,DELTA AIRLINES,Culture,Personal Readiness,Inadequate Supervision,Adverse Physiological State,Perceptual Errors,1,1.8024,1.18755407,0.88281437,
DCA15IA089,VMC,Afternoon,Incident,3/14/2015,GOJET AIRLINES LLC,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,1,0.7184,0.643490548,0.177304965,FEW
OPS15IA017,VMC,Morning,Incident,4/12/2015,UNITED PARCEL SERVICE,Safety Climate,Crew Resource Management,Supervisory Violations,Mental Limitations,Decision Errors,2,0.6737,-3.953755042,0.129366106,FEW
OPS15IA017,VMC,Morning,Incident,4/12/2015,UNITED PARCEL SERVICE,Safety Climate,Crew Resource Management,Supervisory Violations,Mental Limitations,Decision Errors,2,0.6737,-3.953755042,0.129366106,FEW
DCA15CA108,IMC,Evening,Accident,3/20/2015,AMERICAN EAGLE AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,1,2.85,-3.759090892,-1.254705144,FEW
DCA15CA118,VMC,Afternoon,Accident,5/4/2015,MESA AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,2,0.7536,4.533256293,6.613508443,FEW
CEN15IA225,VMC,Evening,Incident,5/5/2015,FRONTIER AIRLINES,Structure,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,2,1.1176,1.23679921,-5.955334988,
DCA15CA125,VMC,Evening,Accident,5/23/2015,DELTA AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,2,1.7532,0.215813902,0.989746699,FEW
ENG15IA024,VMC,Afternoon,Incident,6/5/2015,CHAMPLAIN ENTERPRISES,Safety Climate,Crew Resource Management,Failed to Correct Known Problem,Mental Limitations,Skill-based Errors,2,,0,0,FEW
DCA15CA129,VMC,Evening,Accident,6/8/2015,ALLEGIANT AIR,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,2,1.1257,2.695640626,3.784254023,CLER
DCA15CA131,Unknown,Evening,Accident,6/10/2015,MESA AIRLINES,Safety Climate,Crew Resource Management,Supervisory Violations,Adverse Mental State,Routine Violations,2,0.7536,4.533256293,6.613508443,
DCA15CA145,Unknown,Morning,Accident,6/30/2015,DELTA AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,2,1.7532,0.215813902,0.989746699,
DCA15CA146,Unknown,Evening,Accident,6/29/2015,DELTA AIRLINES,Safety Climate,Personal Readiness,Inadequate Supervision,Mental Limitations,Skill-based Errors,2,1.7532,0.215813902,0.989746699,
DCA15CA152,Unknown,Evening,Accident,6/29/2015,DELTA AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,2,1.7532,0.215813902,0.989746699,OVCT
CEN15IA337,VMC,Evening,Incident,8/5/2015,SOUTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Perceptual Errors,3,1.3027,-71.94070868,3.678225165,FEW
OPS15IA020,IMC,Evening,Incident,8/8/2015,DELTA AIRLINES,Safety Climate,Crew Resource Management,Planned Inappropriate Operations,Mental Limitations,Decision Errors,3,1.5054,-72.8492052,3.318586958,
WPR15LA239,VMC,Evening,Accident,8/7/2015,COMPASS AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Decision Errors,3,0.5113,5.312996172,7.366071429,FEW
DCA15LA173,VMC,Evening,Accident,8/15/2015,AMERICAN AIRLINES,Safety Climate,Crew Resource Management,Planned Inappropriate Operations,Adverse Mental State,Decision Errors,3,1.446,-74.51498375,3.552430188,SCAT
DCA15CA176,VMC,Afternoon,Accident,8/23/2015,SOUTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,3,1.3027,-71.94070868,3.678225165,
DCA16CA001,IMC,Afternoon,Accident,10/1/2015,AMERICAN AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,4,1.5671,282.8077922,-0.793814859,
ENG16IA001,Unknown,Morning,Incident,10/2/2015,DELTA AIRLINES,Culture,Personal Readiness,Failed to Correct Known Problem,Adverse Physiological State,Skill-based Errors,4,1.5678,266.7046437,-1.036982772,
DCA16CA008,Unknown,Evening,Accident,10/9/2015,SOUTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,4,1.3194,272.7038972,-0.524591524,
DCA16CA009,Unknown,Evening,Accident,10/21/2015,AMERICAN AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,4,1.5671,282.8077922,-0.793814859,FEW
DCA16CA010,VMC,Morning,Accident,10/24/2015,UNITED AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,4,1.5587,267.4023043,0.007629414,CLER
DCA16CA021,IMC,Morning,Accident,11/7/2015,UNITED AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,4,1.5587,267.4023043,0.007629414,
DCA16CA023,VMC,Evening,Accident,11/23/2015,AMERICAN AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,4,1.5671,282.8077922,-0.793814859,FEW
DCA16CA026,IMC,Evening,Accident,11/29/2015,SOUTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,4,1.3194,272.7038972,-0.524591524,
DCA16CA030,IMC,Afternoon,Accident,12/10/2015,AMERICAN AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,4,1.5671,282.8077922,-0.793814859,
DCA16LA032,VMC,Evening,Accident,12/15/2015,SOUTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,4,1.3194,272.7038972,-0.524591524,CLER
DCA16IA036,VMC,Morning,Incident,12/19/2015,ALASKA AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Decision Errors,4,1.3637,1.282453218,1.928500648,FEW
DCA16CA041,VMC,Evening,Accident,1/3/2016,SHUTTLE AMERICA CORP,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,1,1.34,1.927273235,9.611712285,FEW
DCA16CA050,Unknown,Afternoon,Accident,12/12/2015,AMERICAN AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,4,1.5671,282.8077922,-0.793814859,
DCA16CA052,VMC,Afternoon,Accident,12/26/2015,SOUTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,4,1.3194,272.7038972,-0.524591524,CLER
DCA16CA053,IMC,Evening,Accident,12/23/2015,SOUTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,4,1.3194,272.7038972,-0.524591524,FEW
DCA16CA070,VMC,Evening,Accident,1/24/2016,DELTA AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Decision Errors,1,1.5501,-0.27427146,0.855126291,FEW
OPS16IA002,VMC,Morning,Incident,1/27/2016,ENDEAVOR AIR,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,1,0.9241,-73.73229702,0.152578578,SCAT
DCA16CA077,VMC,Evening,Accident,1/28/2016,SOUTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,1,1.3159,2.079019743,1.905158937,
DCA16CA089,IMC,Evening,Accident,2/14/2016,AMERICAN AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,1,1.5374,-0.83902048,0.986663888,
DCA16CA094,VMC,Morning,Accident,2/17/2016,AMERICAN AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,1,1.5374,-0.83902048,0.986663888,
DCA16CA094,VMC,Morning,Accident,2/17/2016,AMERICAN AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,1,1.5374,-0.83902048,0.986663888,
DCA16LA100,VMC,Evening,Accident,2/24/2016,TRANS STATES AIRLINES,Safety Climate,Crew Resource Management,Planned Inappropriate Operations,Mental Limitations,Decision Errors,1,2.19,-2.42645797,0.078064012,
DCA16CA113,VMC,Morning,Accident,3/5/2016,UNITED PARCEL SERVICE,Culture,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,1,0.616,-2.359943675,0.073678394,SCAT
OPS16IA008,VMC,Evening,Incident,4/7/2016,AMERICAN AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,2,1.4978,-74.34962886,0.543708151,FEW
OPS16IA008,VMC,Evening,Incident,4/7/2016,AMERICAN AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,2,1.4978,-74.34962886,0.543708151,FEW
DCA16CA133,VMC,Evening,Accident,4/14/2016,SOUTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,2,1.2417,1.351990152,2.268403935,CLER
DCA16CA139,VMC,Evening,Accident,4/29/2016,SKYWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,2,1.01,2.629730057,1.814437034,
DCA16CA153,Unknown,Evening,Accident,5/14/2016,AMERICAN AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,2,1.4978,-74.34962886,0.543708151,UNK
DCA16CA181,VMC,Evening,Accident,3/15/2016,UNITED AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,1,1.5449,-1.091239519,0.324225356,CLER
DCA16CA182,VMC,Morning,Accident,6/5/2016,DELTA AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,2,1.4487,-74.19676644,1.397096974,
DCA16CA193,Unknown,Afternoon,Accident,6/26/2016,UNITED AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,2,1.5259,-1.382593526,0.645087702,
ENG16IA027,Unknown,Afternoon,Incident,7/7/2016,DELTA AIRLINES,Safety Climate,Crew Resource Management,Planned Inappropriate Operations,Mental Limitations,Skill-based Errors,3,1.5238,279.7816165,-0.579095164,
DCA16IA200,VMC,Evening,Incident,7/8/2016,DELTA AIRLINES,Safety Climate,Crew Resource Management,Planned Inappropriate Operations,Mental Limitations,Decision Errors,3,1.5238,279.7816165,-0.579095164,CLER
DCA16CA202,VMC,Evening,Accident,6/12/2016,AMERICAN AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,2,1.4978,-74.34962886,0.543708151,FEW
DCA16CA205,VMC,Evening,Accident,7/28/2016,JETBLUE AIRWAYS,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,3,1.1649,300.6901133,-0.894046034,
DCA16CA207,VMC,Evening,Accident,8/5/2016,SOUTHWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,3,1.3182,-0.872210673,2.294091764,FEW
DCA16CA208,VMC,Evening,Accident,7/26/2016,REPUBLIC AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,3,1.1923,-3.395966634,-2.738483859,
DCA16CA209,VMC,Evening,Accident,8/3/2016,AMERICAN AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,3,1.5534,285.6165789,0.557185954,CLER
DCA16CA211,VMC,Evening,Accident,8/10/2016,DELTA AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,3,1.5238,279.7816165,-0.579095164,FEW
DCA16IA215,IMC,Evening,Incident,8/12/2016,JETBLUE AIRWAYS,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,3,1.1649,300.6901133,-0.894046034,SCAT
DCA16CA214,VMC,Afternoon,Accident,8/17/2016,UNITED AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,3,1.5156,-1.063326844,0.962059109,
DCA16FA217,VMC,Morning,Accident,8/27/2016,SOUTHWEST AIRLINES,Structure,Personal Readiness,Failed to Correct Known Problem,Adverse Physiological State,Skill-based Errors,3,1.3182,-0.872210673,2.294091764,CLER
DCA16CA220,VMC,Evening,Accident,8/31/2016,UNITED AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,3,1.5156,-1.063326844,0.962059109,
DCA16CA226,VMC,Morning,Accident,9/24/2016,CHAMPLAIN ENTERPRISES,Safety Climate,Crew Resource Management,Failed to Correct Known Problem,Mental Limitations,Skill-based Errors,3,,0,0,SCAT
DCA17CA005,Unknown,Evening,Accident,10/5/2016,SOUTHWEST AIRLINES,Safety Climate,Personal Readiness,Inadequate Supervision,Mental Limitations,Skill-based Errors,4,1.3337,-75.02973652,4.729690097,
OPS17IA003,IMC,Morning,Incident,10/21/2016,ALLEGIANT AIR,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Decision Errors,4,0.9369,-74.87829258,8.761033017,
ENG17IA003,Unknown,Afternoon,Incident,10/26/2016,DELTA AIRLINES,Safety Climate,Personal Readiness,Planned Inappropriate Operations,Adverse Physiological State,Skill-based Errors,4,1.7077,-76.15553224,0.022595749,FEW
DCA17FA021,VMC,Evening,Accident,10/28/2016,AMERICAN AIRLINES,Culture,Crew Resource Management,Supervisory Violations,Adverse Physiological State,Decision Errors,4,1.6622,-75.71514186,1.405145055,SCAT
DCA17MA022,VMC,Evening,Accident,10/28/2016,FED EX,Safety Climate,Personal Readiness,Failed to Correct Known Problem,Adverse Physiological State,Skill-based Errors,4,2.816,-69.13011551,18.32566921,FEW
ENG17IA005,VMC,Afternoon,Incident,12/4/2016,SKYWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Skill-based Errors,4,1.0906,-75.31083637,1.667298219,
ENG17IA006,Unknown,Morning,Incident,11/29/2016,GOJET AIRLINES LLC,Culture,Personal Readiness,Failed to Correct Known Problem,Adverse Physiological State,Skill-based Errors,4,0.8998,-74.90591199,2.740798747,
DCA17CA042,IMC,Evening,Accident,12/14/2016,UNITED AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,4,1.5037,-75.22815118,2.298664205,
OPS17IA008,VMC,Evening,Incident,12/15/2016,SKYWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,4,1.0906,-75.31083637,1.667298219,FEW
OPS17IA008,VMC,Evening,Incident,12/15/2016,SKYWEST AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Mental Limitations,Decision Errors,4,1.0906,-75.31083637,1.667298219,FEW
ENG17IA008,Unknown,Evening,Incident,1/23/2017,ENDEAVOR AIR,Safety Climate,Personal Readiness,Failed to Correct Known Problem,Adverse Physiological State,Skill-based Errors,1,0.9326,299.9796667,2.160576154,
DCA17CA064,VMC,Afternoon,Accident,2/15/2017,PSA AIRLINES,Safety Climate,Crew Resource Management,Inadequate Supervision,Adverse Mental State,Skill-based Errors,1,1.2472,300.4666403,3.907962016,SCAT
